	UnitName	Version	Side	Objectname	Designation	Name	Description	FootprintX	FootprintZ	BuildCostEnergy	BuildCostMetal	MaxDamage	MaxWaterDepth	MaxSlope	EnergyUse	BuildTime	WorkerTime	BMcode	Builder	ThreeD	ZBuffer	NoAutoFire	SightDistance	RadarDistance	SoundCategory	EnergyStorage	MetalStorage	ExplodeAs	SelfDestructAs	Category	TEDClass	Copyright	YardMap	Corpse	GermanName	GermanDescription	UnitNumber	FrenchName	Frenchdescription	firestandorders	StandingFireOrder	mobilestandorders	StandingMoveOrder	canmove	canpatrol	canstop	SpanishName	SpanishDescription	ItalianName	ItalianDescription	Ovradjust	canguard	MaxVelocity	BrakeRate	Acceleration	TurnRate	SteeringMode	ShootMe	Scale	EnergyMake	DefaultMissionType	maneuverleashlength	MovementClass	MinWaterDepth	buildangle	canattack	Weapon1	Weapon2	Weapon3	downloadable	wpri_badTargetCategory	BadTargetCategory	wsec_badTargetCategory	Floater	Canfly	cruisealt	BankScale	Builddistance	CanReclamate	MetalMake	Upright	standingmoveorder	SonarDistance	WaterLine	Downloadable	Spanishdescription	Italiandescription	NoChaseCategory	canhover	digger	DamageModifier	antiweapons	ai_weight	ai_limit	noshadow	floater	waterline	ActivateWhenBuilt	onoffable	RadarDistanceJam	NoShadow	Waterline	sortbias	IsAirBase	TransMaxUnits	canload	transportsize	transportcapacity	altfromsealevel	corpse	norestrict	HoverAttack	CloakCost	candgun	CloakCostMoving	HealTime	CanCapture	HideDamage	ImmuneToParalyzer	Commander	ShowPlayerName	mincloakdistance	maxwaterdepth	amphibious	IsFeature	PigLatinName	JapaneseName	PigLatinDescription	MoveRate1	Buildangle	MakesMetal	teleporter	Stealth	ExtractsMetal	kamikaze	selfdestructcountdown	init_cloaked	attackrunlength	SonarDistanceJam	FrenchDescription	istargetingupgrade	transportmaxunits	TidalGenerator	kamikazedistance	WindGenerator	MobileStandOrders	weapon1	cantbetransported	Germanname	Germandescription	Frenchname	Spanishname	Italianname	canreclamate	canresurrect	resurrect	stealth	BuildAngle	OVRadjust	upright	ovradjust	PitchScale	MoveRate2
ReImagined HPI Compile\ReIm_Units\ARMSCORP.UNITINFO	ARMSCORP	1.2	ARM	ARMSCORP	ELW	Scorpion	Indigenous Lifeform	3	3	15660	0	1000	12		0	29611	0	1	0	1	1	0	210	0	CORSCORP	0	0	BIG_UNITEX	BIG_UNIT	ARM SCORP LEVEL2 WEAPON PARAL NOTAIR NOTSUB CTRL_W	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.			Skorpion	Skorpion	279	Scorpion	Scorpion	1	2	1	1	1	1	1	Escorpión	Escorpión	Scorpione			1	1.52	0.152	0.151	1020	1	1		0	Standby	640	SPID3			1	ARMSCORP_WEAPON				VTOL	VTOL																VTOL																						armscorp_dead	1																																																				
ReImagined HPI Compile\ReIm_Units\ARMSCRAM.UNITINFO	ARMSCRAM	1.2	ARM	ARMSCRAM	ASD-SK	Fibber	Sonar Jamming Sub	3	3	2897	295	450			0.5	11048	0	1	0	1	1	0	150		ARM_JAMSUB	0	0	SMALL_UNITEX	SMALL_UNIT	ARM UNDERWATER JAM LEVEL2 NOWEAPON NOTAIR	WATER	Copyright 1997 Humongous Entertainment. All rights reserved.		armscram_dead	Fibber	Sonar-Stör-U-Boot	245	Menteur	Sous-Marin Brouilleur			1	1	1	1	1	Fibber	Sonar de interferencias subacuáticas	Fibber	Disturbo sonar subacqueo		1	2.4	0.36	0.2	622	1	1		0.5	Standby	640	BOATD3	15						1														20														1	1																																								650																								
ReImagined HPI Compile\ReIm_Units\ARMSEAP.UNITINFO	ARMSEAP	1.2	ARM	ARMSEAP	ARM-SGB	Albatross	Torpedo Seaplane	3	3	9619	557	216	0	10	0.7	22825	0	1	0	1	1	0	350	0	ARM_SEAPLN	0	0	MEDIUM_UNITEX	MEDIUM_UNIT	ARM VTOL CTRL_V LEVEL2 WEAPON  NOTSUB CTRL_W CTRL_P	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Albatross	Seetaugliches Bomber-Gunship	182	Albatros	Hydravion bombardier de combat	1	2	1	1	1	1	1	Albatross	Hidroavión de helicópteros bombarderos	Albatross	Idroplano bombadiere		1	10.4	4	0.27	452	1	1		0.7	VTOL_standby	1280				1	ARMSEAP_WEAPON1	ARMSEAP_WEAPON2	ARMSEAP_WEAPON3		VTOL		VTOL		1	80	1								1																																						255	1					8									100																									
ReImagined HPI Compile\ReIm_Units\ARMSEER.UNITINFO	ARMSEER	1	ARM	ARMSEER	ARM-MRJ	Seer	Mobile Radar	3	3	941	85	480	0	16	8	3186	0	1	0	1	1	0	320	1120	ARM_VEHICLE	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK NOWEAPON RAD LEVEL2 NOTAIR NOTSUB CTRL_R	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armjam_dead	Seer	Mobiles Radar	61	Prophète	Radar mobile			1	1	1	1	1	Seer	Radar móvil	Seer	Radar mobile	1	1	1.1	0.012	0.032	500	1	1		8	Standby	640	TANKSH3																																			1	1																																																																
ReImagined HPI Compile\ReIm_Units\ARMSEHAK.UNITINFO	ARMSEHAK	1.2	ARM	ARMSEHAK	AWV-TA	Seahawk	Airborne Sonar	3	3	7624	139	470	0	10	12	10064	0	1	0	1	1	0	350		ARM_SEASONAR	0	0	BIG_UNITEX	BIG_UNIT	ARM VTOL CTRL_V LEVEL2 NOWEAPON NOTSUB CTRL_R	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Seaadler	Sonarflugzeug	246	Seahawk	Sonar Aéroporté			1	1	1	1	1	Seahawk	Sonar Aerotransportado	Seahawk	Sonar aerotrasportato		1	9.5	4	0.06	365	1	1	1	12	VTOL_standby	1280								1					1	220	1						1405																										1														255	1																																							
ReImagined HPI Compile\ReIm_Units\ARMSFIG.UNITINFO	ARMSFIG	1.2	ARM	ARMSFIG	ARM-SGB	Tornado	Seaplane Fighter	3	3	6307	187	150	0	10	0.7	14333	0	1	0	1	1	0	350	0	ARM_SEAPLN	0	0	MEDIUM_UNITEX	MEDIUM_UNIT	ARM VTOL CTRL_V LEVEL2 WEAPON  NOTSUB CTRL_W CTRL_P	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Tornado	Jäger-Wasserflugzeug	299	Tornado	Hydravion de Chasse	1	2	1	1	1	1	1	Tornado	Hidroavión de Combate	Tornado	Caccia idrovolante		1	11.2	4	0.4	512	1	1		0.7	VTOL_standby	1280				1	ARMSFIG_WEAPON	ARMSFIG_WEAPON2							1	80									1																																						255	1					8																																		
ReImagined HPI Compile\ReIm_Units\ARMSH.UNITINFO	ARMSH	1.2	ARM	ARMSH	ARM-HLL	Skimmer	Scout Hovercraft	3	3	1169	76	200	0	16	2.6	3388	0	1	0	1	1	0	280	0	ARM_HOVER_SM	0	0	BIG_UNITEX	BIG_UNIT	ARM HOVER WEAPON LEVEL2 NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armsh_dead	Skimmer 	Aufklärungs-Hovercraft	283	Ricochet	Hovercraft Reconnaissance	1	2	1	1	1	1	1	Skimmer		Skimmer			1	3.7	0.05	0.11	310	1	1		2.6	Standby	640	TANKHOVER3			1	ARMSH_WEAPON			1	VTOL	VTOL														Hidroavión de Exploración	Hovercraft di ricognizione	VTOL	1																																																																										
ReImagined HPI Compile\ReIm_Units\ARMSILO.UNITINFO	ARMSILO	1	ARM	ARMSILO	ARM-MIDS	Retaliator	Nuclear Missile Launcher	5	5	52134	1010	2300	0	10	0	178453	0	0	0	1	1	0	350	0	NUC	0	0	ATOMIC_BLASTSML	NUCLEAR_MISSILE	ARM SPECIAL WEAPON LEVEL3 NOTAIR NOTSUB 	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armsilo_dead	Retaliator	Atomraketenwerfer	62	Vengeor	Lance-missiles nucléaires	1	0					1	Retaliator	Lanzamisiles nucleares	Retaliator	Lanciamissili nucleare 	1							1		0					8192	1	NUCLEAR_MISSILE				VTOL	VTOL																																																																																											
ReImagined HPI Compile\ReIm_Units\ARMSJAM.UNITINFO	ARMSJAM	1.2	ARM	ARMSJAM	ASD-SS	Escort	Radar Jammer Ship	4	4	1928	131	510			18	6708	0	1	0	1	1	0	300	0	ARM_SHIP	0	0	MEDIUM_UNITEX	MEDIUM_UNIT	ARM SHIP NOWEAPON JAM LEVEL2 NOTAIR NOTSUB CTRL_R	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		armsjam_dead	Escort	Radarstörer-Schiff	163	Escorteur	Brouilleur de radar			1	1	1	1	1	Escort	Buque distorsionador de radar	Escort	Nave - crea interferenze radar		1	2.7	0.016	0.075	400	1	1		18	Standby	640	BOATS4	6						1				1									0															1	1	700																																																															
ReImagined HPI Compile\ReIm_Units\ARMSNIPE.UNITINFO	ARMSNIPE	1.2	ARM	ARMSNIPE	BK-CD4	Shooter	Sniper Kbot	2	2	14727	935	320	22	14	0.9	28137	0	1	0	1	1	0	290	0	ARM_KBOT	0	0	BIG_UNITEX	BIG_UNIT	ARM KBOT LEVEL2 WEAPON NOTAIR CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		ARMSNIPE_dead	Shooter	Scharfschützen-Kbot	250	Tireur	Kbot Tireur d'Elite	1	0	1	1	1	1	1	Shooter	Kbot francotirador	Shooter	Kbot cecchino		1	1.1	0.15	0.1	1216	2	1		0.9	Standby	640	TANKSH2			1	ARMsnipe_weapon			1	VTOL	VTOL									1							VTOL					weight ARMAMPH 0.5	limit ARMAMPH 20																			780		1100							40																																									
ReImagined HPI Compile\ReIm_Units\ARMSOLAR.UNITINFO	ARMSOLAR	1	ARM	ARMSOLAR	AE-SC	Solar Collector	Produces Energy	5	5	760	145	326	0	10	-20	2495	0	0	0	1	1	0	210	0	ARM_SOLAR	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM ENERGY LEVEL1 NOWEAPON NOTAIR NOTSUB 	ENERGY	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooooooooooooooooooooo	armsolar_dead	Solarkollektor	Gewinnt Energie	63	Capteur solaire	Produit de l'énergie								Colector Solar	Produce energía	Pannello Solare	Produce energia	1									0					4096																										0.33333							1	1																																																																
ReImagined HPI Compile\ReIm_Units\ARMSONAR.UNITINFO	ARMSONAR	1	ARM	ARMSONAR	AS-EWDW	Sonar Station	Locates Water Units	2	2	403	20	50		10	9	912	0	0	0	1	1	0	175		ARM_SONAR	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM SPECIAL SONAR LEVEL2 NOTAIR NOTSUB CTRL_R	WATER	Copyright 1997 Humongous Entertainment. All rights reserved.	wwww	armsonar_dead	Sonarstation	Ortet schwimmende Einheiten	64	Station sonar	Détecte les unités navales								Estación de Sonar	Detecta submarinos	Stazione Sonar	Individua le unità anfibie	1									9				8	8192																		1180															1	1		1	12																																																													
ReImagined HPI Compile\ReIm_Units\ARMSPID.UNITINFO	ARMSPID	1	ARM	ARMSPID	ATAS	Spider	Spider Assault Vehicle	3	3	2200	230	450	12		0.7	6075	0	1	0	1	1	0	210	0	Spider	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL2 WEAPON PARAL NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armspid_dead	Spider	Spinnen-Gefechtsfahrzeug	65	Mygal	Véhicule d'assaut	1	2	1	1	1	1	1	Spider	Vehículo todoterreno de ataque	Spider	Veicolo d'assalto Spider	1	1	1.525878906	0.152587891	0.152587891	1020	1	1		0.7	Standby	640	SPID3			1	ARM_PARALYZER				VTOL	VTOL																VTOL																																																																											
ReImagined HPI Compile\ReIm_Units\ARMSPY.UNITINFO	ARMSPY	1.2	ARM	ARMSPY	ARM-KML	Infiltrator	SPY Kbot	2	2	9219	128	270	12	14	0.4	22631	0	1	0	1	1	0	280	0	ARM_KBOT	0	0	BIG_UNITEX	BIG_UNIT	ARM KBOT SPY NOWEAPON LEVEL2 NOTAIR NOTSUB 	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armspy_dead	Infiltrator	Spionage-Kbot	280	Infiltrateur	Kbot Espion			1	1	1	1	1	Infiltrator	Kbot Espía	Infiltrator	Kbot spia		1	1.9	0.15	0.2	1016	2	1		0.4	Standby	640	TANKSH2							1											1																																210		800							80																																									
ReImagined HPI Compile\ReIm_Units\ARMSS.UNITINFO	ARMSS	1.2	ARM	ARMSS	SS	Sea Serpent	Indigenous Lifeform	4	4	4385	0	420			0	8291	0	1	0	1	1	0	280	0	ARMSS	0	0	SMALL_UNITEX	SMALL_UNIT	ARM SHIP LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.			Seeschlange	Eingeborene Lebensform	247	Serpent de Mer		1	2	1	1	1	1	1	Serpiente de Mar	Forma de vida autóctona	Serpente marino	Forma di vita indigena	1	1	5.8	0.02	0.1	911	1	1		0	Standby	640	BOATS4	6		1	FLAMETHROWER			1			NOTAIR	1									489	3																										armss_dead	1																													Forme de Vie Indigène																							
ReImagined HPI Compile\ReIm_Units\ARMSTUMP.UNITINFO	ARMSTUMP	1	ARM	ARMSTUMP	ARM-FA5	Stumpy	Medium Assault Tank	2	2	1246	165	992	12	10	0.6	2404	0	1	0	1	1	0	250	0	ARM_TANK	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armstump_dead	Stumpy	Mittelschwerer Gefechtspanzer	66	Mastok	Char d'assaut moyen	1	2	1	1	1	1	1	Stumpy	Tanque de asalto medio	Stumpy	Carro armato medio d'assalto	1	1	1.7	0.01	0.016	450	1	1		0.6	Standby	640	TANKSH2			1	ARM_LIGHTCANNON				VTOL	VTOL																VTOL																																																																											
ReImagined HPI Compile\ReIm_Units\ARMSUB.UNITINFO	ARMSUB	1	ARM	ARMSUB	ASD-SM	Lurker	Submarine	3	3	3724	1151	610			0.4	9894	0	1	0	1	1	0	112	0	ARM_SUB	0	0	SMALL_UNITEX	SMALL_UNIT	ARM UNDERWATER LEVEL1 TORP WEAPON NOTAIR CTRL_W	WATER	Copyright 1997 Humongous Entertainment. All rights reserved.		armsub_dead	Lurker	U-Boot	67	Nautile	Sous-marin	1	2	1	1	1	1	1	Lurker	Submarino	Lurker	Sottomarino	1	1	2.1	0.18	0.015	256	1	1		0.4	Standby	640	BOATD3	20		1	ARM_TORPEDO				VTOL	VTOL									1		405	20				VTOL										1																																																																	
ReImagined HPI Compile\ReIm_Units\ARMSUBK.UNITINFO	ARMSUBK	1	ARM	ARMSUBK	ASD-SK	Piranha	Submarine Killer	3	3	5481	1448	290			0.5	17767	0	1	0	1	1	0	150		ARM_SUB	0	0	SMALL_UNITEX	SMALL_UNIT	ARM UNDERWATER LEVEL2 TORP WEAPON NOTAIR CTRL_W	WATER	Copyright 1997 Humongous Entertainment. All rights reserved.		armsubk_dead	Piranha	U-Boot Jäger	68	Piranha	Destructeur de sous-marins	1	2	1	1	1	1	1	Piranha	Caza submarino	Piranha	Sottomarino killer	1	1	2.4	0.36	0.2	622	1	1		0.5	Standby	640	BOATD3	15		1	ARMSMART_TORPEDO				VTOL	VTOL									1		489	20				VTOL										1																																																																	
ReImagined HPI Compile\ReIm_Units\ARMSY.UNITINFO	ARMSY	1	ARM	ARMSY	ARM-SCF	Shipyard	Produces Ships	8	8	775	615	2490			0	6050	100	0	1	1	1	0	212	0	SHIPYARD	100	100	LARGE_BUILDINGEX	LARGE_BUILDING	ARM PLANT CTRL_F LEVEL1 NOWEAPON NOTAIR NOTSUB 	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	wCCCCCCw CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC wCCCCCCw	armsy_dead	Werft	Tech Level 1	69	Chantier naval  	Niveau Tech 1	1	2	1	1	1	1	1	Astillero	Produce buques	Cantiere Navale	Produce navi	1													30																0.5				1																	1																																																														
ReImagined HPI Compile\ReIm_Units\ARMTARG.UNITINFO	ARMTARG	1.2	ARM	ARMTARG	V-SED2	Targeting Facility	Automatic Radar Targeting	5	4	136058	15130	1900	0	10	1250	154785	0	0	0	1	1	0	210	0	ARM_TARG	0	0	LARGE_BUILDINGEX	LARGE_BUILDING	ARM SPECIAL LEVEL3 NOWEAPON NOTAIR NOTSUB 	SPECIAL	Copyright 1997 Humongous Entertainment. All rights reserved.	oooooooooooooooooooo	armtarg_dead	Peilstation	Automatische Radar-Zielerfassung	248	Installation de Ciblage	Ciblage Radar Automatique								Complejo Búsqueda Blancos	Radar de puntería automático	Dispositivo di puntamento	Radar per puntamento automatico															4096					1																					0.7							1	1																																										1																						
ReImagined HPI Compile\ReIm_Units\ARMTHOVR.UNITINFO	ARMTHOVR	1.2	ARM	ARMTHOVR	ARM-THC	Bear	Transport Hovercraft	4	4	7938	665	1150			2.4	20341	0	1	0	1	1	0	250	0	ARM_HOVER_BIG	0	0	BIG_UNITEX	BIG_UNIT	ARM HOVER TPORT LEVEL2 NOWEAPON NOTAIR NOTSUB 	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armthovr_dead	Bär	Hovercraft-Transporter	183	Ours	Hovercraft de transport	0		0	1	1	1	1	Oso	Transporta hovercrafts	Orso	Hovercraft-Trasporto		1	1.8	0.0018	0.004	128	1	1	0.5	2.4	Standby	640	TANKHOVER4	12	16384					1																			1								4									1	3	5																																		6																					
ReImagined HPI Compile\ReIm_Units\ARMTHUND.UNITINFO	ARMTHUND	1	ARM	ARMTHUND	AFD-HAB	Thunder	Bomber	3	3	5496	130	320	0	10	1.1	10155	0	1	0	1	1	0	350	0	ARM_VTOL	0	0	LIGHTNING	CRAWL_BLASTSML	ARM VTOL CTRL_V LEVEL1 WEAPON BOMB NOTSUB CTRL_W CTRL_P	VTOL	Copyright 1997 Humongous Entertainment. All rights reserved.			Thunder	Bomber	70	Tonnerre	Bombardier	1	0	1	1	1	1	1	Thunder	Bombardero	Thunder	Bombardiere	1	1	9	0.4	0.08	356	1	1	1	1.1	VTOL_standby	1280				1	ARMBOMB								1	200	1											UNDERWATER																					1																													120																									
ReImagined HPI Compile\ReIm_Units\ARMTIDE.UNITINFO	ARMTIDE	1	ARM	ARMTIDE	AE-TPG	Tidal Generator	Produces Energy	3	3	768	82	256		10	0	2188	0	0	0	1	1	0	100	0	ARM_TIDE	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM ENERGY LEVEL1 NOWEAPON NOTAIR NOTSUB 	WATER	Copyright 1997 Humongous Entertainment. All rights reserved.	wwwwwwwwwwwwwwww	armtide_dead	Gezeitenkraftwerk	Liefert Energie	71	Centrale marémotrice	Produit de l'énergie								Generador Maremotriz	Produce energía	Generatore a Maree	Produce energia	1													20	8192																		0															1			1	8																																									1																				
ReImagined HPI Compile\ReIm_Units\ARMTL.UNITINFO	ARMTL	1	ARM	ARMTL	AS-TDS	Torpedo Launcher	Torpedo Launcher	3	3	2658	804	1450			0.1	4120	0	0	0	1	1	0	150	0	ARM_SHIP	0	0	SMALL_UNITEX	SMALL_UNIT	ARM SPECIAL WEAPON TORP LEVEL2 NOTAIR NOTSUB 	WATER	Copyright 1997 Humongous Entertainment. All rights reserved.	wwwwwwwww	armtl_dead	T. Launcher	Torpedowerfer	72	Torpillard	Lance-torpilles	1	2					1	Lanzatorpedos	Lanzatorpedos	Lancia-torpedini	Lancia-torpedini	1							1		0.1	GUARD_NOMOVE			1	16384	1	COAX_TORPEDO																450	10														1			1																																																														
ReImagined HPI Compile\ReIm_Units\ARMTSHIP.UNITINFO	ARMTSHIP	1	ARM	ARMTSHIP	ASD-ST	Hulk	Transport Ship	6	6	4639	919	2000			0.3	14538	0	1	0	1	1	0	250	0	ARM_SHIP	0	0	BIG_UNITEX	BIG_UNIT	ARM SHIP TPORT LEVEL1 NOWEAPON NOTAIR NOTSUB 	SHIP	Copyright 1997 Humongous Entertainment. All rights reserved.		armtship_dead	Hulk	Transportschiff	73	Mastodonte	Cargo	0		0	1	1	1	1	Hulk	Transporte anfibio	Hulk	Nave da trasporto	1	1	1.9	0.018	0.009	128	1	1	0.5	0.3	Standby	640	BOATS6	12	16384									1																																1	3	20																																																							
ReImagined HPI Compile\ReIm_Units\ARMUWES.UNITINFO	ARMUWES	1.2	ARM	ARMUWES	AM-WMSF	Underwater Energy Storage	Increases Energy Storage	4	4	2950	284	1447		20	0	15741	0	0	0	1	1	0	140	0	ARM_ESTOR	4000	0	ESTOR_BUILDINGEX	ESTOR_BUILDING	ARM ENERGY level1 NOWEAPON NOTAIR NOTSUB  	ENERGY	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	ARMUWES_dead	U-Energielager	Größere Energievorräte	298	Dépôt d'Energie Sous-Marin	Augmente Stockage Energie								Almacén Energía Subacuát.	Incrementa el almacenaje de energía	Deposito di energia sub	Deposito di energia sottomarino														30	8192					1																																																																																													
ReImagined HPI Compile\ReIm_Units\ARMUWFUS.UNITINFO	ARMUWFUS	1.2	ARM	ARMUWFUS	AE-FPW	Underwater Fusion Plant	Produces Energy	5	4	54287	7085	1231	255	10		131255	0	0	0	1	1	0	110	0	ARM_UWFUSION	0	0	ATOMIC_BLAST	NUCLEAR_MISSILE	ARM ENERGY LEVEL3 NOWEAPON NOTAIR NOTSUB	ENERGY	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armuwfus_dead	Unterwasser-Fusionsreaktor	Liefert Energie	184	Centrale Atom. sous-marine	Produit de l'énergie								Planta de Fusión	Planta de fusión submarina	Impianto di Fusione	Impianto di Fusione sottomarino										1150				34	8192					1																												1																																																																	
ReImagined HPI Compile\ReIm_Units\ARMUWMEX.UNITINFO	ARMUWMEX	1.2	ARM	ARMUWMEX	AM-WME	Underwater Metal Extractor	Extracts Metal	3	3	2074	130	330		24	2	4175	0	0	0	1	1	0	140	0	ARM_UWMEX	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM metal extractor level1 NOWEAPON NOTAIR NOTSUB  	METAL	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armuwmex_dead	Tauchschmelze	Unterwasser-Metallgewinnung	185	Extracteur sous-marin	Extracteur de métal sous-marin								Extractor de Metal	Extractor de metal submarino	Estr. Metallo subacqueo	Estrattore di Metallo sottomarino														19	8192					1																												1	1																																			0.001																													
ReImagined HPI Compile\ReIm_Units\ARMUWMS.UNITINFO	ARMUWMS	1.2	ARM	ARMUWMS	AM-WMSF	Underwater Metal Storage	Increases Metal Storage	4	4	1255	360	1625		20	0	3741	0	0	0	1	1	0	140	0	ARM_MSTOR	0	1500	SMALL_BUILDINGEX	SMALL_BUILDING	ARM metal NOWEAPON NOTAIR NOTSUB  	METAL	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armuwms_dead	U-Metalllager	Größere Metallvorräte	298	Dépôt de Métal Sous-Marin	Augmente Stockage Métal								Almacén Metal Subacuático	Incrementa el almacenaje de metal	Deposito di metallo sub	Deposito di metallo sottomarino														31	8192					1																																																																																													
ReImagined HPI Compile\ReIm_Units\ARMVADER.UNITINFO	ARMVADER	1	ARM	ARMVADER	ARM-CB	Invader	Crawling Bomb	1	1	5473	61	185	112	32	0.1	7901	0	1	0	1	1	0	101	0	VADER	0	0	CRAWL_BLASTSML	CRAWL_BLAST	ARM KBOT WEAPON LEVEL2 NOTAIR NOTSUB KAMIKAZE	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.			Invader	Kriech-Bombe	74	Envahisseur	Bombe rampante	1	0	1	1	1	1	1	Invader	Bomba de superficie	Invader	Bomba a grappolo	1	1	0.42	0.13	0.11	1400	1	1		0.1	Standby	640	TANKDS2			1																																																																					1									80																			
ReImagined HPI Compile\ReIm_Units\ARMVP.UNITINFO	ARMVP	1	ARM	ARMVP	ARM-VCF	Vehicle Plant	Produces Vehicles	8	6	1000	620	2580	0	10	0	6500	100	0	1	1	1	0	210	0	TANKPLANT	100	100	LARGE_BUILDINGEX	LARGE_BUILDING	ARM PLANT CTRL_F LEVEL1 NOWEAPON NOTAIR NOTSUB 	PLANT	Copyright 1997 Humongous Entertainment. All rights reserved.	oooooooo ooccccoo ooccccoo ooccccoo ooccccoo ooccccoo	armvp_dead	Fahrzeugfabrik	Tech Level 1	75	Usine de véhicules 	Niveau Tech 1	1	2	1	2	1	1	1	Planta Constr. Vehículos 	Produce vehículos	Fabbrica Veicoli	Produce veicoli	1														1024																																						0																																																												
ReImagined HPI Compile\ReIm_Units\Armvulc.UNITINFO	ARMVULC	1.2	ARM	ARMVULC	ARM-QLRC	Vulcan	Rapid Fire Plasma Cannon	3	3	479111	45198	1400	0	10	0	587421	0	0	0	1	1	1	210	0	ARM_BRTHA	0	0	ATOMIC_BLAST	ATOMIC_BLAST	ARM LEVEL3 strategic weapon NOTAIR NOTSUB 	FORT	Copyright 1997 Humongous Entertainment. All rights reserved.	ooooooooo	armvulc_dead	Vulcan	Plasma-Schnellfeuerkanone	289	Vulcain	Canon Plasma à Tir Rapide	1	0					1	Vulcan	Cañón rápido de Plasma	Vulcan	Cannone rapido al Plasma								1		0	GUARD_NOMOVE				29096	1	armvulc_weapon			1	VTOL																																																																																												
ReImagined HPI Compile\ReIm_Units\ARMWAR.UNITINFO	ARMWAR	1.2	ARM	ARMWAR	ARM-KI2	Warrior	Medium Infantry Kbot	2	2	2236	196	850	12	17	0.5	5709	0	1	0	1	1	0	250	0	ARM_KBOT	0	0	SMALL_UNITEX	SMALL_UNIT	ARM KBOT LEVEL1 WEAPON NOTAIR NOTSUB CTRL_W	KBOT	Copyright 1997 Humongous Entertainment. All rights reserved.		armwar_dead	Warrior	Mittelschwerer Infantrie-Kbot	265	Guerrier	KBot d'infanterie moyen	1	2	1	1	1	1	1	Warrior	Kbot de infantería medio	Warrior	Kbot da fanteria medio		1	1.25	0.19	0.06	700	2	1		0.5	Standby	640	TANKSH2			1	ARMWAR_LCANNON	ARMWAR_EMG			VTOL	VTOL									1				1			VTOL																																																																											
ReImagined HPI Compile\ReIm_Units\ARMWIN.UNITINFO	ARMWIN	1	ARM	ARMWIN	AE-WPG	Wind Generator	Produces Energy	4	4	509	52	176	0	10	0	1603	0	0	0	1	1	0	210	0	ARM_WIND	0	0	SMALL_BUILDINGEX	SMALL_BUILDING	ARM ENERGY LEVEL1 NOWEAPON NOTAIR NOTSUB 	ENERGY	Copyright 1997 Humongous Entertainment. All rights reserved.	oooooooooooooooo	armwin_dead	Windgenerator	Gewinnt Energie	76	Eolienne	Produit de l'énergie								Generador Eólico	Produce energía	Generatore a Vento	Produce energia	1														8192																																	1																																															30																		
ReImagined HPI Compile\ReIm_Units\ARMYORK.UNITINFO	ARMYORK	3.0	ARM	ARMYORK	ARM-MML5	Phalanx	Mobile Flak Vehicle	3	3	10500	830	621	12	16	0.5	20380	0	1	0	1	1	0	300	0	ARM_VEHICLE	0	0	BIG_UNITEX	BIG_UNIT	ARM TANK LEVEL2 WEAPON NOTAIR NOTSUB CTRL_W	TANK	Copyright 1997 Humongous Entertainment. All rights reserved.		armyork_dead	Phalanx	Mobile Flak-Einheit	303	Phalange	Véhicule antiaérien	1	2	1	0	1	1	1	Phalanx	Vehículo Móvil Antiaéreo	Falange	Veicolo d'artiglieria mobile	1	1	1.21	0.012	0.03	511	1	1		0.5	Standby	10	TANKSH3			1	ARMyork_GUN				NOTAIR	NOTAIR													1																																																																														
